Timestamp;accX;accY;accZ;batteryPercent;isCharging;isUsbCharge;isAcCharge;
1397953465904;-0.05448139;-0.013620348;9.833891;1.0;true;true;false;
1397953851713;-0.05448139;-0.013620348;9.847511;1.0;true;true;false;
1397953881711;-0.013620348;0.027240695;9.874752;1.0;true;true;false;
1397953911726;-0.21792556;10.024576;-0.027240695;1.0;true;true;false;
1398348476181;-0.16344418;0.095342435;9.765789;1.0;true;true;false;
1398348506265;-0.19068487;0.08172209;9.915613;1.0;true;true;false;
1398348536092;-0.19068487;0.12258313;9.874752;1.0;true;true;false;
1398348566082;-0.21792556;0.12258313;9.861132;1.0;true;true;false;
1398348596080;-0.19068487;0.040861044;9.847511;1.0;true;true;false;
1398348626049;5.448139;0.2860273;9.847511;1.0;false;false;false;
1398348655995;0.05448139;0.2860273;9.901993;1.0;false;false;false;
1398348687400;0.05448139;0.25878662;9.79303;1.0;false;false;false;
1398348687412;0.05448139;0.25878662;9.847511;1.0;false;false;false;
1398348687415;0.05448139;0.25878662;9.847511;1.0;false;false;false;
1398348716558;0.027240695;0.24516626;9.80665;1.0;false;false;false;
1398348746045;-0.06810174;0.14982383;9.507003;1.0;false;false;false;
1398348776454;0.095342435;0.21792556;9.847511;1.0;false;false;false;
1398348806603;0.095342435;0.24516626;9.833891;1.0;false;false;false;
1398348836449;0.08172209;0.23154591;9.861132;1.0;false;false;false;
1398348866561;0.095342435;0.24516626;9.80665;1.0;false;false;false;
1398348896460;0.040861044;0.23154591;9.80665;1.0;false;false;false;
1398348926526;0.095342435;0.24516626;9.80665;1.0;false;false;false;
1398348956512;0.095342435;0.21792556;9.833891;1.0;false;false;false;
1398348986047;0.040861044;0.21792556;9.820271;1.0;false;false;false;
1398349016440;0.06810174;0.19068487;9.888372;1.0;false;false;false;
1398349046496;0.040861044;0.19068487;9.915613;1.0;false;false;false;
1398349077442;0.013620348;0.20430522;9.833891;1.0;false;false;false;
1398349077454;0.10896278;0.24516626;9.833891;1.0;false;false;false;
1398349077455;0.10896278;0.24516626;9.833891;1.0;false;false;false;
1398349106490;0.040861044;0.21792556;9.80665;1.0;false;false;false;
1398349136487;0.06810174;0.21792556;9.861132;1.0;false;false;false;
1398349166048;0.027240695;0.19068487;9.79303;1.0;false;false;false;
1398349196471;0.040861044;0.21792556;9.833891;1.0;false;false;false;
1398349226480;0.05448139;0.25878662;9.765789;1.0;false;false;false;
1398349256439;0.027240695;0.21792556;9.847511;1.0;false;false;false;
1398349286047;0.040861044;0.23154591;9.779409;1.0;false;false;false;
1398349316494;0.05448139;0.23154591;9.80665;1.0;false;false;false;
